cas	visina
19.02.2023 07:00	225.6
19.02.2023 07:10	227.6
19.02.2023 07:20	229.9
19.02.2023 07:30	232.1
19.02.2023 07:40	234.6
19.02.2023 07:50	236.5
19.02.2023 08:00	237.5
19.02.2023 08:10	239.8
19.02.2023 08:20	240.6
19.02.2023 08:30	240.7
19.02.2023 08:40	242.3
19.02.2023 08:50	242.6
19.02.2023 09:00	240.9
19.02.2023 09:10	239.9
19.02.2023 09:20	238.3
19.02.2023 09:30	236.6
19.02.2023 09:40	234.3
19.02.2023 09:50	231.5
19.02.2023 10:00	229.4
19.02.2023 10:10	227.3
19.02.2023 10:20	223.9
19.02.2023 10:30	219.1
19.02.2023 10:40	216.7
19.02.2023 10:50	212.1
19.02.2023 11:00	207.1
19.02.2023 11:10	203.5
19.02.2023 11:20	199.0
19.02.2023 11:30	194.9
19.02.2023 11:40	190.3
19.02.2023 11:50	187.3
19.02.2023 12:00	181.5
19.02.2023 12:10	178.6
19.02.2023 12:20	172.4
19.02.2023 12:30	168.7
19.02.2023 12:40	165.1
19.02.2023 12:50	159.6
19.02.2023 13:00	156.4
19.02.2023 13:10	153.2
19.02.2023 13:20	148.3
19.02.2023 13:30	145.4
19.02.2023 13:40	141.8
19.02.2023 13:50	138.1
19.02.2023 14:00	134.4
19.02.2023 14:10	132.3
19.02.2023 14:20	129.9
19.02.2023 14:30	127.5
19.02.2023 14:40	125.5
19.02.2023 14:50	123.8
19.02.2023 15:00	122.4
19.02.2023 15:10	122.4
19.02.2023 15:20	122.0
19.02.2023 15:30	121.8
19.02.2023 15:40	121.8
19.02.2023 15:50	123.6
19.02.2023 16:00	125.5
19.02.2023 16:10	128.3
19.02.2023 16:20	130.7
19.02.2023 16:30	134.0
19.02.2023 16:40	137.3
19.02.2023 16:50	140.4
19.02.2023 17:00	144.7
19.02.2023 17:10	148.1
19.02.2023 17:20	152.0
19.02.2023 17:30	156.6
19.02.2023 17:40	162.0
19.02.2023 17:50	163.6
19.02.2023 18:00	169.3
19.02.2023 18:10	174.9
19.02.2023 18:20	180.2
19.02.2023 18:30	183.5
19.02.2023 18:40	187.0
19.02.2023 18:50	194.5
19.02.2023 19:00	199.3
19.02.2023 19:10	204.2
19.02.2023 19:20	207.4
19.02.2023 19:30	212.9
19.02.2023 19:40	217.2
19.02.2023 19:50	219.5
19.02.2023 20:00	221.7
19.02.2023 20:10	227.0
19.02.2023 20:20	229.2
19.02.2023 20:30	232.0
19.02.2023 20:40	234.8
19.02.2023 20:50	236.9
19.02.2023 21:00	239.0
19.02.2023 21:10	241.2
19.02.2023 21:20	243.3
19.02.2023 21:30	243.8
19.02.2023 21:40	244.8
19.02.2023 21:50	246.2
19.02.2023 22:00	245.3
19.02.2023 22:10	243.1
19.02.2023 22:20	243.1
19.02.2023 22:30	240.5
19.02.2023 22:40	237.3
19.02.2023 22:50	236.5
19.02.2023 23:00	232.8
19.02.2023 23:10	230.1
19.02.2023 23:20	228.2
19.02.2023 23:30	226.2
19.02.2023 23:40	224.5
19.02.2023 23:50	219.9
20.02.2023 00:00	218.3
20.02.2023 00:10	215.7
20.02.2023 00:20	211.0
20.02.2023 00:30	207.2
20.02.2023 00:40	204.7
20.02.2023 00:50	202.2
20.02.2023 01:00	196.6
20.02.2023 01:10	191.4
20.02.2023 01:20	188.9
20.02.2023 01:30	186.4
20.02.2023 01:40	182.1
20.02.2023 01:50	178.7
20.02.2023 02:00	177.2
20.02.2023 02:10	170.6
20.02.2023 02:20	166.7
20.02.2023 02:30	167.2
20.02.2023 02:40	161.5
20.02.2023 02:50	159.4
20.02.2023 03:00	157.9
20.02.2023 03:10	157.1
20.02.2023 03:20	155.2
20.02.2023 03:30	152.8
20.02.2023 03:40	153.3
20.02.2023 03:50	154.5
20.02.2023 04:00	155.6
20.02.2023 04:10	155.1
20.02.2023 04:20	158.6
20.02.2023 04:30	161.3
20.02.2023 04:40	163.9
20.02.2023 04:50	166.8
20.02.2023 05:00	169.2
20.02.2023 05:10	171.6
20.02.2023 05:20	176.2
20.02.2023 05:30	178.6
20.02.2023 05:40	181.5
20.02.2023 05:50	183.8
20.02.2023 06:00	187.4
20.02.2023 06:10	191.7
20.02.2023 06:20	193.9
20.02.2023 06:30	196.7
20.02.2023 06:40	201.5
20.02.2023 06:50	205.0
20.02.2023 07:00	206.5
20.02.2023 07:10	208.9
20.02.2023 07:20	212.3
20.02.2023 07:30	217.2
20.02.2023 07:40	217.7
20.02.2023 07:50	219.7
20.02.2023 08:00	222.0
